session,dialog_id,utterance_id,text,emotion
Session1,Ses01M_impro01,Ses01M_impro01_F000,Next.,anger
Session1,Ses01M_impro01,Ses01M_impro01_F001,My window is open.,anger
Session1,Ses01M_impro01,Ses01M_impro01_F004,What are you... what's...What are you applying for?,frustration
Session1,Ses01M_impro01,Ses01M_impro01_F007,"No, I need your ID to give you a second ID.",anger
Session1,Ses01M_impro01,Ses01M_impro01_F008,It's really simple if you have a problem with it... Maybe you should--,anger
Session1,Ses01M_impro01,Ses01M_impro01_F010,You have a birth certificate?,frustration
Session1,Ses01M_impro01,Ses01M_impro01_F011,What do you expect me to do?,anger
Session1,Ses01M_impro01,Ses01M_impro01_F012,Probably.,anger
Session1,Ses01M_impro01,Ses01M_impro01_F015,I am..I don't..I don't understand what you want.  A driver's license or a California ID.,frustration
Session1,Ses01M_impro01,Ses01M_impro01_F019,Don't raise your voice with me.,anger
Session1,Ses01M_impro01,Ses01M_impro01_F020,Don't talk to me like I'm a child.,anger
Session1,Ses01M_impro01,Ses01M_impro01_F021,Do you know how long I've been working here? How long have you lived in California?,anger
Session1,Ses01M_impro01,Ses01M_impro01_F022,"Maybe you never been to the D.M.V. before, maybe you should get back in line.  You know what?  sit in line again and if you get my number ask for different one.",anger
Session1,Ses01M_impro01,Ses01M_impro01_F024,Uh huh.  I didn't come here get in yelling match either.,neutral
Session1,Ses01M_impro01,Ses01M_impro01_F025,They don't pay me enough to deal people like you.,neutral
Session1,Ses01M_impro01,Ses01M_impro01_M000,"Yes, me. Okay, okay here we go.",frustration
Session1,Ses01M_impro01,Ses01M_impro01_M001,"Okay, so filled out all these forms  --",frustration
Session1,Ses01M_impro01,Ses01M_impro01_M002,and I have This form of ID here so...,frustration
Session1,Ses01M_impro01,Ses01M_impro01_M003,"Yes, Jones.",neutral
Session1,Ses01M_impro01,Ses01M_impro01_M005,I'm just applying for another ID.,frustration
Session1,Ses01M_impro01,Ses01M_impro01_M006,"Yes.  I'm supposed to have three forms of ID for this.  It's a long story, I'm supposed to have three forms of ID for this other job I really don't get into but I need another...",frustration
Session1,Ses01M_impro01,Ses01M_impro01_M007,"I have it right here, yes.",frustration
Session1,Ses01M_impro01,Ses01M_impro01_M008,But that's...,frustration
Session1,Ses01M_impro01,Ses01M_impro01_M009,"That's why I'm here, that's why I was waiting in this line.  I need to get another form of ID.",frustration
Session1,Ses01M_impro01,Ses01M_impro01_M010,"No, I don't have a passport.",neutral
Session1,Ses01M_impro01,Ses01M_impro01_M011,"I don't where it is though, I don't have with me.  Can I get it from somewhere?  I mean...",frustration
Session1,Ses01M_impro01,Ses01M_impro01_M012,I probably have to go wait another line to get my birth certificate don't I?,frustration
Session1,Ses01M_impro01,Ses01M_impro01_M013,You're very helpful.  What's your name?,frustration
Session1,Ses01M_impro01,Ses01M_impro01_M015,So can you help me or not?,frustration
Session1,Ses01M_impro01,Ses01M_impro01_M016,Okay. [BREATHING],frustration
Session1,Ses01M_impro01,Ses01M_impro01_M017,I need California ID.,frustration
Session1,Ses01M_impro01,Ses01M_impro01_M018,On top of these other two forms of ID which I already have.,frustration
Session1,Ses01M_impro01,Ses01M_impro01_M019,"No, I don't have driver's license.",frustration
Session1,Ses01M_impro01,Ses01M_impro01_M020,Did you even look at the form?  I filled it out all these questions--,anger
Session1,Ses01M_impro01,Ses01M_impro01_M022,Okay.,frustration
Session1,Ses01M_impro01,Ses01M_impro01_M023,If it makes you stop acting like a child.,frustration
Session1,Ses01M_impro01,Ses01M_impro01_M025,I am not...I'm not getting to back that line.,anger
Session1,Ses01M_impro01,Ses01M_impro01_M026,"Okay, okay let's keep our voices down, okay?  I didn't come here to get in yelling match.",frustration
Session1,Ses01M_impro01,Ses01M_impro01_M027,"I did not come in here to get in a yelling match with you, all right?",frustration
Session1,Ses01M_impro01,Ses01M_impro01_M028,Just try and help me.,frustration
Session1,Ses01M_impro01,Ses01M_impro01_M030,Why?,anger
Session1,Ses01M_impro01,Ses01M_impro01_M031,"Why, because I'm sick of talking to you.",anger
Session1,Ses01M_impro01,Ses01M_impro01_M032,"'Cause you're obviously not talking to me, you're just yelling at me, berating me and telling me I can't fill out forms right.",anger
Session1,Ses01M_impro01,Ses01M_impro01_M033,"Oh, no honey. And you're going to miss the Christmas card too. It's a shame. It's going to be a good, nice picture.",frustration
Session1,Ses01M_impro02,Ses01M_impro02_F000,What's happening?,neutral
Session1,Ses01M_impro02,Ses01M_impro02_F003,How...,frustration
Session1,Ses01M_impro02,Ses01M_impro02_F004,How can they do that?,frustration
Session1,Ses01M_impro02,Ses01M_impro02_F005,They said you're home for at least four years.,frustration
Session1,Ses01M_impro02,Ses01M_impro02_F006,[BREATHING],frustration
Session1,Ses01M_impro02,Ses01M_impro02_F007,That's not fair.,frustration
Session1,Ses01M_impro02,Ses01M_impro02_F008,[BREATHING],frustration
Session1,Ses01M_impro02,Ses01M_impro02_F009,I don't even know what to tell you.,sadness
Session1,Ses01M_impro02,Ses01M_impro02_F010,What about the birthday party?,sadness
Session1,Ses01M_impro02,Ses01M_impro02_F013,You're going with the same ones?,sadness
Session1,Ses01M_impro02,Ses01M_impro02_F015,It's not the same though.,sadness
Session1,Ses01M_impro02,Ses01M_impro02_F017,Mm hmm.  We'll build a bunker and never come out.,sadness
Session1,Ses01M_impro02,Ses01M_impro02_F019,Don't say that.,sadness
Session1,Ses01M_impro02,Ses01M_impro02_M000,"Hey, Joy come in here.",neutral
Session1,Ses01M_impro02,Ses01M_impro02_M001,I have to go back.,sadness
Session1,Ses01M_impro02,Ses01M_impro02_M002,I just got a letter I have to go back.,sadness
Session1,Ses01M_impro02,Ses01M_impro02_M003,First thing tomorrow morning.,sadness
Session1,Ses01M_impro02,Ses01M_impro02_M006,"I guess they can do it,",frustration
Session1,Ses01M_impro02,Ses01M_impro02_M007,"The National Guard is I guess really spread thin and then everyone has to go.  We all have to go back, my whole companies going back.",sadness
Session1,Ses01M_impro02,Ses01M_impro02_M009,"So yeah, we leave tomorrow...",sadness
Session1,Ses01M_impro02,Ses01M_impro02_M010,...we're all shipping out.,sadness
Session1,Ses01M_impro02,Ses01M_impro02_M011,I just got I feel like I'm in shock actually.,sadness
Session1,Ses01M_impro02,Ses01M_impro02_M012,I don't know.,sadness
Session1,Ses01M_impro02,Ses01M_impro02_M013,I guess you're just going to have to have it without me.,sadness
Session1,Ses01M_impro02,Ses01M_impro02_M014,"Hey listen, it's going to be okay though, all right?",sadness
Session1,Ses01M_impro02,Ses01M_impro02_M015,You're going to be fine.,sadness
Session1,Ses01M_impro02,Ses01M_impro02_M016,"I'm going to be fine too, okay?",sadness
Session1,Ses01M_impro02,Ses01M_impro02_M017,I know I have a good... I have a really good group of guys with me.,sadness
Session1,Ses01M_impro02,Ses01M_impro02_M018,We're going to be okay.,sadness
Session1,Ses01M_impro02,Ses01M_impro02_M019,Do promise me you're going to take a lot of pictures.,sadness
Session1,Ses01M_impro02,Ses01M_impro02_M020,I know.,sadness
Session1,Ses01M_impro02,Ses01M_impro02_M021,I just wish there was something I could do.,sadness
Session1,Ses01M_impro02,Ses01M_impro02_M022,Run away?,sadness
Session1,Ses01M_impro02,Ses01M_impro02_M023,"I really don't want to go, I don't want to go...",sadness
Session1,Ses01M_impro02,Ses01M_impro02_M025,I love you.,sadness
Session1,Ses01M_impro03,Ses01M_impro03_F002,Why?,happiness
Session1,Ses01M_impro03,Ses01M_impro03_F003,Is she on the run?,happiness
Session1,Ses01M_impro03,Ses01M_impro03_F004,"Oh, she just needs to marry you.",happiness
Session1,Ses01M_impro03,Ses01M_impro03_F005,That's incredible. That's awesome. Where's she from?  Maybe you can get a dual citizenship.,happiness
Session1,Ses01M_impro03,Ses01M_impro03_F006,That's so cool. Uh huh.,happiness
Session1,Ses01M_impro03,Ses01M_impro03_F007,[LAUGHTER] Why did she pick you? Where were you?,happiness
Session1,Ses01M_impro03,Ses01M_impro03_F008,You were at a party? And she's like hey. You seem unattached she's like.,happiness
Session1,Ses01M_impro03,Ses01M_impro03_F009,That's unbelievable... Yeah.,happiness
Session1,Ses01M_impro03,Ses01M_impro03_F010,Well I've known people who have done this before. Yeah.  You just- it's really fun actually 'cause you have like a fake engagement party and all your friends come over and like...,happiness
Session1,Ses01M_impro03,Ses01M_impro03_F011,"Yeah. Yeah. And then yeah, and then you know like you could like you could do like like sock her for a lot of money",happiness
Session1,Ses01M_impro03,Ses01M_impro03_F012,"Like make her rent the apartment that you two have to live together in, you know. And you won't pay any rent or you pay like, a hundred bucks a month or something.",happiness
Session1,Ses01M_impro03,Ses01M_impro03_F013,Yeah.,happiness
